preferred_term	identifier	ontology_label	occurrences	cas_rn_current	stated_hydration	known_hydrates	hydration_valid	cas_verdict	cas_correct_or_UNKNOWN	grounding_verdict	recommended_target_curie	action	confidence	notes	source_rows_in_culturemech	mediadive_compound_id	sssom_predicate_published	defect_origin
MnSO4 x 7 H2O	CHEBI:86360	manganese(II) sulfate	6	7785-87-7	heptahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	WRONG_TERM_ANHYDROUS	none exists	MINT	medium	The named heptahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees. An exact external ontology hydrate term is unavailable or unconfirmed, so a dedicated kg-microbe identity is appropriate. The current CAS is the anhydrous parent, not the stated hydrate. Published SSSOM skos:exactMatch to CHEBI:86360 (manganese(II) sulfate) cannot hold under this chemistry verdict; this false identity is already graph-facing.	10	543	skos:exactMatch	MIM
NiSO4 x 7 H2O	CHEBI:53504	nickel sulfate heptahydrate	6		heptahydrate	hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	CORRECT	CHEBI:53504	OK	high	The named heptahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	9	1634	skos:exactMatch	NONE
Potassium phosphate dibasic trihydrate	cas:16788-57-1	potassium phosphate	6	16788-57-1	trihydrate	trihydrate	TRUE	MATCHES_HYDRATE	16788-57-1	CORRECT	cas:16788-57-1	OK	medium	The named trihydrate is a registered commercial crystal form; the CAS identity is hydrate-specific even where the parent ontology label is broader.	3	NA	skos:exactMatch	NONE
BaCl2 x 2 H2O	CHEBI:86153	barium chloride dihydrate	5	10326-27-9	dihydrate	dihydrate	TRUE	MATCHES_HYDRATE	10326-27-9	CORRECT	CHEBI:86153	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	10	1251	skos:exactMatch	NONE
CuSO4 x 2 H2O	CHEBI:23414	copper(II) sulfate	4	7758-98-7	dihydrate	monohydrate; trihydrate; pentahydrate; heptahydrate	FALSE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	WRONG_TERM_ANHYDROUS	UNKNOWN	NEEDS_SOURCE	high	Probably CuSO4 x 5 H2O; phase studies establish the 1-, 3-, and 5-hydrates (and boothite is a rare 7-hydrate), not a stable dihydrate. The current CAS is the anhydrous parent, not the stated hydrate. The exact label is upstream MediaDive compound 719 and occurs in 7 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to CHEBI:23414 (copper(II) sulfate) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	7	719	skos:exactMatch	MEDIADIVE_UPSTREAM
EDTA tetrasodium tetrahydrate salt	cas:13235-36-4	ethylenediaminetetraacetic acid	4	13235-36-4	tetrahydrate	tetrahydrate	TRUE	MATCHES_HYDRATE	13235-36-4	CORRECT	cas:13235-36-4	OK	medium	The named tetrahydrate is a registered commercial crystal form; the CAS identity is hydrate-specific even where the parent ontology label is broader.	3	NA	skos:exactMatch	NONE
Fe(III)PO4 x 4 H2O	CHEBI:131372	iron(3+) phosphate tetrahydrate	4	31096-47-6	tetrahydrate	dihydrate; tetrahydrate	TRUE	MATCHES_HYDRATE	31096-47-6	CORRECT	CHEBI:131372	OK	high	The named tetrahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	5	179	skos:exactMatch	NONE
FeCl3 x 4 H2O	kgmicrobe.compound:fecl3_x_4_h2o	iron trichloride	4	7705-08-0	tetrahydrate	hexahydrate	FALSE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	CORRECT	kgmicrobe.compound:fecl3_x_4_h2o	NEEDS_SOURCE	high	Probably FeCl3 x 6 H2O; ferric chloride is ordered as the stable hexahydrate, not a tetrahydrate. The current CAS is the anhydrous parent, not the stated hydrate. The exact label is upstream MediaDive compound 922 and occurs in 6 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to kgmicrobe.compound:fecl3_x_4_h2o (FeCl3 x 4 H2O) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	6	922	skos:exactMatch	MEDIADIVE_UPSTREAM
Na2MoO4 x 7 H2O	CHEBI:86473	sodium molybdate heptahydrate	4		heptahydrate	dihydrate; decahydrate	FALSE	NO_CAS_PROVIDED	UNKNOWN	CORRECT	CHEBI:86473	NEEDS_SOURCE	high	Probably Na2MoO4 x 2 H2O; the Na2MoO4-water phase system gives the dihydrate above about 10 C and decahydrate below, not a stable heptahydrate. The exact label is upstream MediaDive compound 950 and occurs in 6 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to CHEBI:86473 (sodium molybdate heptahydrate) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	6	950	skos:exactMatch	MEDIADIVE_UPSTREAM
Na2SO4 x 10 H2O	CHEBI:32586	sodium sulfate decahydrate	4	7727-73-3	decahydrate	metastable heptahydrate; decahydrate	TRUE	MATCHES_HYDRATE	7727-73-3	CORRECT	CHEBI:32586	OK	high	The named decahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	5	1065	skos:closeMatch	NONE
SnCl2 x 2 H2O	CHEBI:78074	tin(II) chloride dihydrate	4		dihydrate	dihydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	CORRECT	CHEBI:78074	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	4	1361	skos:exactMatch	NONE
CoCl2 x 2 H2O	kgmicrobe.compound:cocl2_x_2_h2o	cobalt dichloride	3	7646-79-9	dihydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	MATCHES_ANHYDROUS_WRONGLY	16544-92-6	CORRECT	kgmicrobe.compound:cocl2_x_2_h2o	FIX_CAS	high	The named dihydrate is an established isolable form and the kg-microbe identifier preserves its distinct hydrate identity. Hydrate and anhydrous/different-hydrate CAS identities must remain separate. The current CAS is the anhydrous parent, not the stated hydrate.	5	578	skos:exactMatch	MIM
CuSO4 x 6 H2O	CHEBI:91246	copper(II) sulfate hexahydrate	3		hexahydrate	monohydrate; trihydrate; pentahydrate; heptahydrate	FALSE	NO_CAS_PROVIDED	UNKNOWN	CORRECT	CHEBI:91246	NEEDS_SOURCE	high	Probably CuSO4 x 5 H2O; no stable copper(II) sulfate hexahydrate phase is established despite the matching ChEBI label. The exact label is upstream MediaDive compound 218 and occurs in 5 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to CHEBI:91246 (copper(II) sulfate hexahydrate) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	5	218	skos:exactMatch	MEDIADIVE_UPSTREAM
Na2HPO4 x 3 H2O	kgmicrobe.compound:na2hpo4_x_3_h2o	disodium hydrogenphosphate	3	7782-85-6	trihydrate	dihydrate; heptahydrate; dodecahydrate	FALSE	OTHER	UNKNOWN	CORRECT	kgmicrobe.compound:na2hpo4_x_3_h2o	NEEDS_SOURCE	high	Probably Na2HPO4 x 7 H2O because the attached CAS is the heptahydrate; the stable phase series is 2, 7, and 12 waters. The current CAS denotes a different or unspecified hydration state, not this exact hydrate. The exact label is upstream MediaDive compound 525 and occurs in 4 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to kgmicrobe.compound:na2hpo4_x_3_h2o (Na2HPO4 x 3 H2O) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	4	525	skos:exactMatch	MEDIADIVE_UPSTREAM
CaSO4 x 7 H2O	CHEBI:31346	calcium sulfate	2	7778-18-9	heptahydrate	hemihydrate; dihydrate	FALSE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	WRONG_TERM_ANHYDROUS	UNKNOWN	NEEDS_SOURCE	high	Probably CaSO4 x 2 H2O; calcium sulfate forms bassanite (hemihydrate) and gypsum (dihydrate), not a heptahydrate. The current CAS is the anhydrous parent, not the stated hydrate. The exact label is upstream MediaDive compound 2000 and occurs in 4 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to CHEBI:31346 (calcium sulfate) cannot hold under this chemistry verdict; notably, the chemically valid plain CaSO4 row is published only as skos:closeMatch to the same target, so the impossible hydrate currently makes the stronger identity claim. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	4	2000	skos:exactMatch	MEDIADIVE_UPSTREAM
CeCl3 x 7 H2O	kgmicrobe.compound:cecl3_x_7_h2o	cerium trichloride	2	7790-86-5	heptahydrate	heptahydrate	TRUE	MATCHES_ANHYDROUS_WRONGLY	18618-55-8	CORRECT	kgmicrobe.compound:cecl3_x_7_h2o	FIX_CAS	high	Cerium(III) chloride heptahydrate is an established crystalline form. The current CAS 7790-86-5 is anhydrous CeCl3; the heptahydrate is CAS 18618-55-8.	4	1444	skos:exactMatch	MIM
FeCl2 x 6 H2O	kgmicrobe.compound:fecl2_x_6_h2o	iron dichloride	2	7758-94-3	hexahydrate	dihydrate; tetrahydrate	FALSE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	CORRECT	kgmicrobe.compound:fecl2_x_6_h2o	NEEDS_SOURCE	high	Probably FeCl2 x 4 H2O; iron(II) chloride has established di- and tetrahydrates, not a stable hexahydrate. The current CAS is the anhydrous parent, not the stated hydrate. The exact label is upstream MediaDive compound 555 and occurs in 4 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to kgmicrobe.compound:fecl2_x_6_h2o (FeCl2 x 6 H2O) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	4	555	skos:exactMatch	MEDIADIVE_UPSTREAM
Ferric citrate monohydrate	CHEBI:144434	iron(III) citrate monohydrate	2	153531-98-7	monohydrate	monohydrate	TRUE	MATCHES_HYDRATE	153531-98-7	CORRECT	CHEBI:144434	OK	high	The named monohydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	4	2378	skos:exactMatch	NONE
FeSO4 x 5 H2O	CHEBI:75832	iron(2+) sulfate (anhydrous)	2	7720-78-7	pentahydrate	monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	WRONG_TERM_ANHYDROUS	none exists	MINT	medium	The named pentahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees. An exact external ontology hydrate term is unavailable or unconfirmed, so a dedicated kg-microbe identity is appropriate. The current CAS is the anhydrous parent, not the stated hydrate. Published SSSOM skos:exactMatch to CHEBI:75832 (iron(2+) sulfate (anhydrous)) cannot hold under this chemistry verdict; this false identity is already graph-facing.	4	1933	skos:exactMatch	MIM
MgSO4·H2O	CHEBI:31795	magnesium sulfate heptahydrate	2	10034-99-8	monohydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate	TRUE	OTHER	UNKNOWN	WRONG_TERM_OTHER	none exists	MINT	medium	The named monohydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees. The current CAS denotes a different or unspecified hydration state, not this exact hydrate. An exact external ontology hydrate term is unavailable or unconfirmed, so a dedicated kg-microbe identity is appropriate. Published SSSOM skos:exactMatch to CHEBI:31795 (magnesium sulfate heptahydrate) cannot hold under this chemistry verdict; this false identity is already graph-facing.	2	NA	skos:exactMatch	MIM
MnSO4 x 6 H2O	CHEBI:131523	manganese(II) sulfate hexahydrate	2		hexahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	CORRECT	CHEBI:131523	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	3	216	skos:closeMatch	NONE
Na2HPO4 x 6 H2O	kgmicrobe.compound:na2hpo4_x_6_h2o	disodium hydrogenphosphate	2	7782-85-6	hexahydrate	dihydrate; heptahydrate; dodecahydrate	FALSE	OTHER	UNKNOWN	CORRECT	kgmicrobe.compound:na2hpo4_x_6_h2o	NEEDS_SOURCE	high	Probably Na2HPO4 x 7 H2O because the attached CAS is the heptahydrate; no stable hexahydrate is established. The current CAS denotes a different or unspecified hydration state, not this exact hydrate. The exact label is upstream MediaDive compound 1580 and occurs in 5 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to kgmicrobe.compound:na2hpo4_x_6_h2o (Na2HPO4 x 6 H2O) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	5	1580	skos:exactMatch	MEDIADIVE_UPSTREAM
Sodium perchlorate monohydrate	cas:7791-07-3	sodium perchlorate	2	7791-07-3	monohydrate	monohydrate	TRUE	MATCHES_HYDRATE	7791-07-3	CORRECT	cas:7791-07-3	OK	medium	The named monohydrate is a registered commercial crystal form; the CAS identity is hydrate-specific even where the parent ontology label is broader.	1	NA	skos:exactMatch	NONE
ZnSO4 x 6 H2O	CHEBI:132762	zinc sulfate hexahydrate	2	13986-24-8	hexahydrate	monohydrate; hexahydrate; heptahydrate	TRUE	MATCHES_HYDRATE	13986-24-8	CORRECT	CHEBI:132762	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	3	217	skos:exactMatch	NONE
Al2(SO4)3 x 18 H2O	CHEBI:74779	aluminium sulfate octadecahydrate	1	7784-31-8	octadecahydrate	hexadecahydrate; heptadecahydrate; octadecahydrate	TRUE	MATCHES_HYDRATE	7784-31-8	CORRECT	CHEBI:74779	OK	high	The named octadecahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	2	2070	skos:exactMatch	NONE
beryllium sulfate tetrahydrate	CHEBI:53502	beryllium sulfate tetrahydrate	1	7787-56-6	tetrahydrate	tetrahydrate	TRUE	MATCHES_HYDRATE	7787-56-6	CORRECT	CHEBI:53502	OK	high	The named tetrahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	NA	NA	skos:exactMatch	NONE
Cadmium acetate dihydrate	cas:5743-04-4	cadmium acetate	1	5743-04-4	dihydrate	dihydrate	TRUE	MATCHES_HYDRATE	5743-04-4	CORRECT	cas:5743-04-4	OK	medium	The named dihydrate is a registered commercial crystal form; the CAS identity is hydrate-specific even where the parent ontology label is broader.	NA	NA	skos:exactMatch	NONE
Cd(NO3)2 x 4 H2O	CHEBI:86156	cadmium nitrate tetrahydrate	1	10022-68-1	tetrahydrate	tetrahydrate	TRUE	MATCHES_HYDRATE	10022-68-1	CORRECT	CHEBI:86156	OK	high	The named tetrahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	2	1573	skos:exactMatch	NONE
Cr(NO3)3 x 7 H2O	CHEBI:86206	chromium trinitrate heptahydrate	1		heptahydrate	7.5-hydrate commercial material; nonahydrate	UNCERTAIN	NO_CAS_PROVIDED	UNKNOWN	CORRECT	CHEBI:86206	NEEDS_SOURCE	medium	Chromium(III) nitrate is established as the nonahydrate and as variable 7.5-9 hydrate material; an exact stable heptahydrate is not securely established.	2	1574	skos:exactMatch	MEDIADIVE_UPSTREAM
Cu(NO3)2 x 3 H2O	kgmicrobe.compound:cu_no32_x_3_h2o	copper(II) nitrate	1	10031-43-3	trihydrate	trihydrate	TRUE	MATCHES_HYDRATE	10031-43-3	CORRECT	kgmicrobe.compound:cu_no32_x_3_h2o	OK	medium	The named trihydrate is an established isolable form and the kg-microbe identifier preserves its distinct hydrate identity.	2	1489	skos:exactMatch	NONE
CuSO4 x 4 H2O	CHEBI:23414	copper(II) sulfate	1	7758-98-7	tetrahydrate	monohydrate; trihydrate; pentahydrate; heptahydrate	FALSE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	WRONG_TERM_ANHYDROUS	UNKNOWN	NEEDS_SOURCE	high	Probably CuSO4 x 5 H2O; no stable copper(II) sulfate tetrahydrate is established. The current CAS is the anhydrous parent, not the stated hydrate. The exact label is upstream MediaDive compound 1456 and occurs in 2 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to CHEBI:23414 (copper(II) sulfate) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	2	1456	skos:exactMatch	MEDIADIVE_UPSTREAM
K2SO4 x 7 H2O	CHEBI:32036	potassium sulfate	1	7778-80-5	heptahydrate	none known	FALSE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	WRONG_TERM_ANHYDROUS	UNKNOWN	NEEDS_SOURCE	high	Probably anhydrous K2SO4; potassium sulfate has no known stable hydrate, including no heptahydrate. The current CAS is the anhydrous parent, not the stated hydrate. The exact label is upstream MediaDive compound 1920 and occurs in 2 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to CHEBI:32036 (potassium sulfate) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	2	1920	skos:exactMatch	MEDIADIVE_UPSTREAM
Na2SO3 x 5 H2O	CHEBI:86477	sodium sulfite	1	7757-83-7	pentahydrate	heptahydrate	FALSE	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	WRONG_TERM_ANHYDROUS	UNKNOWN	NEEDS_SOURCE	high	Probably anhydrous Na2SO3 or Na2SO3 x 7 H2O; structural evidence identifies only the anhydrous salt and heptahydrate, not a pentahydrate. The current CAS is the anhydrous parent, not the stated hydrate. The exact label is upstream MediaDive compound 1201 and occurs in 2 CultureMech source rows; MIM transcribed it faithfully, so confirmation and correction belong upstream in MediaDive/CultureMech. Published SSSOM skos:exactMatch to CHEBI:86477 (sodium sulfite) cannot hold under this chemistry verdict; this false identity is already graph-facing. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive nodes and ingredient-concentration exports; no downstream file was changed.	2	1201	skos:exactMatch	MEDIADIVE_UPSTREAM
